Unnamed: 0,Country,Region,Billions
199,Samoa,Oceania,0.9
200,Sint Maarten,Americas,0.0
201,Dominica,Americas,0.68
202,São Tomé and Príncipe,Africa,0.62
203,Tonga,Oceania,0.54
204,Micronesia,Oceania,0.46
205,Marshall Islands,Oceania,0.29
206,Cook Islands,Oceania,0.0
207,Palau,Oceania,0.26
208,Anguilla,Americas,0.0
209,Kiribati,Oceania,0.25
210,Nauru,Oceania,0.15
211,Montserrat,Americas,0.0
212,Tuvalu,Oceania,0.06
